"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","Datum","VP","HMI","VPCode[VPCode1]","VPCode[VPCode2]","VPCode[VPCode3]","UMUX[UMUX01]","UMUX[UMUX02]","UMUX[UMUX03]","UMUX[UMUX04]","SUS[SUS01]","SUS[SUS02]","SUS[SUS03]","SUS[SUS04]","SUS[SUS05]","SUS[SUS06]","SUS[SUS07]","SUS[SUS08]","SUS[SUS09]","SUS[SUS10]","TuA[Trust]","TuA[Acceptance]","UEQ[UEQ01]","UEQ[UEQ02]","UEQ[UEQ03]","UEQ[UEQ04]","UEQ[UEQ05]","UEQ[UEQ06]","UEQ[UEQ07]","UEQ[UEQ08]","UEQ[UEQ09]","UEQ[UEQ10]","UEQ[UEQ11]","UEQ[UEQ12]","UEQ[UEQ13]","UEQ[UEQ14]","UEQ[UEQ15]","UEQ[UEQ16]","UEQ[UEQ17]","UEQ[UEQ18]","UEQ[UEQ19]","UEQ[UEQ20]","UEQ[UEQ21]","UEQ[UEQ22]","UEQ[UEQ23]","UEQ[UEQ24]","UEQ[UEQ25]","UEQ[UEQ26]","GutGefallen","NichtGefallen","Verbessern","Anmerkungen","AnstrengendWenden[AnstrengendWenden]","Uebel[Uebel]","SpeechInfo","SpeechChangeAvailUp[SOCAUpYes]","SpeechChangeAvailUp[SOCAUpNot]","SpeechChangeAvailDow[SOCADoYes]","SpeechChangeAvailDow[SOCADoNot]","SpeechTransition[SOTransYes]","SpeechTransition[SOTransNot]","SpeechTOR[SOTORYes]","SpeechTOR[SOTORNot]","SpeechHOD[SOHODYes]","SpeechHOD[SOHODNot]","SpeechOperationError[SOOpErrYes]","SpeechOperationError[SOOpErrNot]","SpeechBreak","SpeechAddressing[SOAddressing]","SpeechComments","AllgAnregungen"
"39","2021-08-02 10:35:15","9","en","1845046625","2021-08-02 10:07:40","2021-08-02 10:35:15","2021-08-02 00:00:00","64","LC","ma","al","07","5","2","5","2","3","1","4","1","4","1","4","1","4","1","4","4","4","6","5","2","3","3","3","6","4","6","5","3","6","4","4","5","2","4","2","5","2","5","2","4","4","2","Easy to use after an inital learning period.","The three symbols for the driving modes looked very similar, but their placement let me know which was which - manual on the left and fully automated on the right.  
When the Emergency Brake! command appeared on screen, there was no corresponding alarm or audible warning.
Some notifications on the display console might have been missed if I hadn´t been looking at the screen at the time.","Different symbols on the steering wheel for the Assisted and Automated driving modes, though I don´t have a suggestion.  I learned that the left button turned on the Assisted mode and that it had to be on before you could activate the second button for Automated mode.
Notifications on the screen could be in a different color, or flash, or something to make them more noticeable.  
","Designers should always remember that many middle aged and older drivers use reading glasses but don´t always wear them when they are driving, so don´t make symbols too small or similar.","1","2","","0","3","0","4","1","4","0","4","1","3","0","4","","1","I really like these outputs, but it would nice to be able to turn them off, if desired, in case someone in the car is sleeping, for example.",""
"40","2021-08-02 12:38:53","9","en","1243347945","2021-08-02 12:23:13","2021-08-02 12:38:53","2021-08-02 00:00:00","16","HC","Di","Ch","12","7","1","7","6","5","1","5","2","4","1","5","1","5","1","5","5","6","6","1","1","2","4","4","6","1","4","5","2","6","7","5","6","1","1","1","6","2","6","2","1","2","5","It was easy to use. I liked that the different drive options were color coded so I could easily see which drive mode I was in. I appreciated the senors and vibration when I needed to return to the steering wheel. ","Intuitively I selected the ""on"" button when I wanted to change instead of the arrow button. ","I think ""on"" and switching back and forth arrow option could be the same button.","I found the second image ""assisted driving"" a little confusing as the hands were lowered on the steering wheel. I was not sure if this meant I could take my hands off the wheel or just rest them below. I think once I knew for sure, I would remember, but in the moment, I was not sure.","1","1","","0","1","0","4","4","0","1","0","1","4","2","3","","2","I like speech outputs when I am in danger or need to take action. I do not like them when confirming a choice I have already made. ","The study was very professional. I don´t have any suggestions."
"41","2021-08-02 15:30:36","9","en","225350249","2021-08-02 15:11:24","2021-08-02 15:30:36","2021-08-02 00:00:00","65","LC","AN","GA","08","6","2","7","1","3","1","5","1","4","1","4","1","4","1","3","3","6","6","2","1","3","5","6","5","1","1","6","1","7","6","7","7","2","2","2","6","2","6","1","2","2","6","Easy to learn and use.","When in automated mode, message to manually brake was only displayed on the dash.  Very easy to miss if one is occupied with a secondary action.  Message would have gone unnoticed.","For important messages-alerts, there should also be an auditory cue to implement message on dash.  This way if driver does not see the dash, she can hear the message instead.","It is a great tool for drivers who need to multi-task during driving.  But it still should be used with great caution.","1","1","","0","3","0","3","0","4","0","4","0","4","2","3","","0","Speech outputs should be used selectively and only in cases that would help avoid danger or confusion.  Otherwise, they become annoying.  Most functions do just fine with dashboard indicators only.  But some things like needing to swith from Auto to Manual  should defiitely also have a speech output.  ","Very well organized and accommodating.  The Experiment Leader, Deike, was incredibly gracious and patient.  She made me fell very relaxed and gave clear, easy to understand instructions.  I was a bit nervous when I first arrived, but she put me at ease immediately and made me feel safe and confident."
"42","2021-08-03 10:46:57","9","en","656856093","2021-08-03 10:34:41","2021-08-03 10:46:57","2021-08-03 00:00:00","17","HC","DA","GR","06","6","1","4","1","3","1","4","1","3","1","5","1","3","1","3","5","5","7","2","1","2","7","7","6","3","6","7","2","6","4","7","6","2","2","1","6","4","5","2","1","4","5","I very much liked the automative aspect. It would be a real feat to be able to drive without having the hands on the wheel and being able to participate in secondary tasks such as answering emails and responding to messages.","I think it could be a bit more clear about which driving mode one is in. Obviously, it was clear from the bottom of the screen which mode one was in, but since it was progressive, someone might mistake that they are in assisted driving instead of automated driving. Having a voice say something like ""You are in automated driving"" or ""You are in assisted driving"" - something that confirms the mode one is in would be good.","Please see my earlier comment.","Please see my earlier comment.","1","1","","1","4","0","4","0","4","1","4","3","2","3","4","","1","I find being addressed personally by an electrical system as a computer to be creepy, and would much rather be addressed in a passively distanced manner. Otherwise it would be too much like 2001 Space Odyssey in which HAL is addressing the astronauts. I do think that some voice reminders are important, however.","I think that automated driving is a super interesting possibility, and it is intriguing to see how the issue is being explored from a user experience standpoint, but I think that the system needs to be super clear to the driver as to which mode in which they are driving. If it isn´t super clear to the driver that they aren't in one mode or another, that could obviously lead to problems."
"43","2021-08-03 12:45:16","9","en","1164366624","2021-08-03 12:33:36","2021-08-03 12:45:16","2021-08-03 00:00:00","66","LC","NA","WI","05","4","3","5","1","3","1","5","1","3","2","5","1","4","1","2","3","5","7","3","2","2","3","4","5","4","4","5","2","7","5","5","6","3","3","4","5","2","7","2","3","3","5","It was very simple to use with clear symbols ","I felt that I could not trust it entirely as the warnings of when to change automation modes/emergencies were only on the dashboard. I felt that I had to look too often at the dashboard instead of being able to relax a bit in automation mode. ","Add sounds/verbal warnings in times when manual control is needed/hazardous situations occur","","1","1","","0","3","1","2","0","3","0","4","1","2","2","2","","3","Not important for basic availability of automation levels as the driver will be able to simply check the dashboard if they are interesetd in using them, but very important for warnings and changes needed to be performed by the driver.",""
"44","2021-08-03 17:32:44","9","en","624088273","2021-08-03 17:10:59","2021-08-03 17:32:44","2021-08-03 00:00:00","67","LC","SC","FL","01","4","3","5","1","5","2","4","3","4","2","4","2","3","2","4","5","7","5","2","3","1","6","6","6","2","3","7","2","3","6","4","6","2","1","4","5","5","7","1","1","1","2","The ability to complete a second task. The buttons on the steering wheel were comfortably located as well.","I did not and still do not know what the different symbols mean. Also, if there is/was an emergency (z.B. Emergency Brake!), I would expect a sound, vibration in the seat or steering wheel or flashing lights to get my attention.","More information of what the driver can do when each function is available/not available. Additonally, a warning more than on the screen, would be necessary to get my attention. (vibration, or flashing lights, etc.)","I did not know what to expect, but this was quite stressful because I wanted to perform well for the experiment. I hope and imagine these results would be different if I were test driving the car at a dealship where an employee would inform me of the HMI and answer my questions. ","1","1","","0","4","1","4","0","4","0","4","0","4","2","2","","2","","Thank you for letting me take part, I hope I offered some information. "
"45","2021-08-04 12:29:09","9","en","1113273974","2021-08-04 12:17:43","2021-08-04 12:29:09","2021-08-04 00:00:00","68","LC","EW","RM","10","7","1","7","1","3","1","5","1","3","1","4","1","4","3","3","3","4","6","3","1","3","4","4","7","1","7","7","1","7","6","1","6","2","3","2","6","1","6","1","3","3","3","It was easy to navigate","Messages were short and would disappear. I was not always aware of changes in functions","none","none","1","1","","4","2","1","4","2","2","1","4","1","4","1","4","","1","","directions were a bit too long and unclear which caused later confusion with experiment and how i was supposed to interact "
"46","2021-08-04 15:08:47","9","en","1208671618","2021-08-04 14:53:09","2021-08-04 15:08:47","2021-08-04 00:00:00","18","HC","RO","RO","09","6","1","6","1","5","1","4","1","4","1","5","1","4","4","4","4","6","7","1","2","2","6","7","5","2","1","6","1","6","6","6","6","2","2","2","6","2","6","2","1","1","7","I found it to be very exciting piece of technology.  i thought after a few minutes of learning it was easy to use and very easy to navigate.  It made me want to know more about the full range of things it can do.  I also found it after the first experience of the automated driving part, very safe and settling checking emails or doing other activities, I would say I trusted the vehicle.","the initial jerk of the vehicle into the center of the lane is unexpected at first and a little scary but after the first time it is just fine.","maybe a more soft transition of the vehicle into the correct driving position once the automated driving kicks in.","I find it exciting, and also helpful.  I think it will help keep people safer in the future on the road","1","1","","1","4","1","4","1","4","1","4","1","4","0","4","","1","no","I find this study very interesting, especially in regards to if different age groups are more hesitant to have these features in place.  However, the overall study of showing what is availabe and what the cars can do is very exciting for the future of driving."
"47","2021-08-05 10:49:12","9","en","733409230","2021-08-05 10:23:02","2021-08-05 10:49:12","2021-08-05 00:00:00","69","LC","TA","GR","03","5","3","7","1","3","1","5","1","2","2","4","1","3","1","3","4","5","7","4","1","3","4","6","2","3","4","5","2","6","5","4","6","4","4","2","4","2","6","2","5","4","3","The HMI seemed to be well aware of the lane markings and maintained speed predictably.","The HMI asked me as a driver to take control without automatically deactivating the automated driving mode. My instincts as a driver would be ignore the HMI and focus on the road situation ahead from the moment that the HMI asks me to take over, so this is very unpredictable for me, and the car could also appear unpredictable to other drivers if the automated mode is not immediately off.","When flashing the ""emergency brake"" warning immediately after asking me as a driver to take over, it was not clear whether I was supposed to apply the brake or whether the car was doing so automatically. In this instance, if the car were to brake and warn me that it was doing so for an obstacle ahead, I would trust the HMI to have seen the obstacle I may not see.

Another area of improvement could be the position of the warnings. The large lane keeping indicator in the middle of the screen did not change when the warnings were issued over the radio portion of the screen, although this is where a drivers eyes may be instinctually drawn. The warnings might fit better in place of the unchanging indicator.","Overall the system was quite easy to use. It felt strange for the system to indicate that automated driving was available when I was in manual mode because the system requires switching through assisted mode to get to automated mode. I would expect this to occur only when the driver has requested the vehicle to assist them already, so there is only one switch necessary to get there.","1","1","","0","2","1","3","4","0","1","3","2","2","4","0","","2","",""
"48","2021-08-05 13:46:56","9","en","1104827755","2021-08-05 13:18:10","2021-08-05 13:46:56","2021-08-05 00:00:00","19","HC","VE","CW","09","7","1","7","1","4","1","5","1","4","1","5","1","5","3","5","3","7","7","2","1","1","6","6","6","2","6","6","1","7","7","6","6","2","2","2","7","1","6","1","3","1","7","the technology, its great for certain driving situations!","the technology,  Its great for certain driving situations and how it interacts with my style of driving.","I would need to do more testing","great job","1","1","","1","4","1","4","1","4","1","4","1","4","1","4","","4","no","the testing is great and I loved it but need more senerios to have a better idea of it functions."
"49","2021-08-05 15:10:55","9","en","1861550017","2021-08-05 15:01:28","2021-08-05 15:10:55","2021-08-05 00:00:00","20","HC","MI","ST","10","4","1","6","1","3","1","5","1","4","2","5","1","5","1","4","4","6","6","4","2","3","7","7","5","2","2","6","2","6","5","4","4","5","4","3","5","2","6","2","4","3","5","How easy it was to switch between options.","That I wasn´t warned one time with sound to change from automated to manual.","Instead of two buttons, just one that cycles through the options would have been more intuitive for me.","I would like sound indication as in normal driving I would not look at my dash that often.","1","1","","0","3","0","4","4","0","0","4","1","3","1","3","","0","","Just to add to my comment about one button, it would have been more intuitive for me if the power button simply turned the function on and then I had to toggle to choose a mode. When the power button automatically selects assisted driving, I assume I only need to hit it again to reach automated."
"50","2021-08-05 17:37:30","9","en","776475192","2021-08-05 17:27:30","2021-08-05 17:37:30","2021-08-05 00:00:00","70","LC","jo","he","10","6","1","6","1","4","1","5","1","4","1","4","1","5","1","5","5","7","7","4","1","1","6","7","6","1","2","6","1","7","7","7","7","1","1","1","7","1","7","1","1","1","7","It was easy to interface with and figure out without much direction.","The eye glasses hurt to wear during the test drive after a while.","Improving the eyeglasses would help in comfort of the tester.  The view a slightly obstructed as well.","good system","1","1","","0","4","0","4","0","4","0","4","0","4","0","4","","4","","keep up the excellent work!"
"52","2021-08-06 09:16:40","9","en","519373298","2021-08-06 09:03:53","2021-08-06 09:16:40","2021-08-06 00:00:00","71","LC","AP","HO","11","6","1","7","2","5","1","4","1","5","1","5","1","4","1","4","5","7","7","2","1","2","7","7","6","2","2","7","1","7","7","6","7","2","2","2","7","2","6","1","2","2","5","The actual usage was very intuitive. Very similar to using cruise control.","I feel like the signals could have been more alerting. I felt like I had to constantly be checking the dash to see if I need to take over for the system.","Maybe adding a noise or a blinking light when the system needs to be taken over (due to sensor error or system limit), but not when different options are available. I feel like the current design is simple and efficient as far as the alerting of the different systems being available.","I think overall it is a very easy to use and intuitive system! Makes for an exciting and enjoyable experience.","1","1","","4","0","0","3","2","2","0","4","1","2","2","2","","1","I think there is a line where it can become annoying so limiting its usage is important in my opinion. So using for when the system must be taken over again or something on that level of importance.","Very well set up and carried out! I enjoyed being able to participate!"
"55","2021-08-06 11:35:16","9","en","592158100","2021-08-06 11:16:21","2021-08-06 11:35:16","2021-08-06 00:00:00","21","HC","KA","AL","01","7","2","7","2","5","1","5","1","5","1","5","1","5","1","4","5","5","7","5","1","1","4","5","6","2","5","6","2","7","5","6","5","2","4","2","6","2","7","2","3","2","5","I liked that it was similiar to cruise control on older cars, so it was familiar in a way.","That I wasn't sure why the automated driving was or was not available.","When asking the driver to take over, it displayed a graphic, instead of looking outside to the road my eyes were drawn to the graphic.","I would rather have clear automation level up and down buttons, instead of just a single button cycling between them. I would want to be confident which way it would go when I pressed it.","1","1","","3","1","1","4","3","1","1","4","3","0","1","3","","0","I wouldn't like getting a speech notification when automated driving is available, that would get annoying, since I'd be actively driving I would see the display anyway and not need an audible notification.","I think the element of surprise is good to see how people will react to never having seen such a system before. For example, I had no idea what the symbols on the screen would look like but I was pleasantly surprised to find them intuitive. And the sudden deactivation of automation was good to see how someone would react without previous knowledge of the system."

